date,reference_source,symbol,open,high,low,close,range_pips,close_change_pips,abs_close_change_pips,body_size_pips,body_pct_of_range,candle_direction,break_previous_high,break_previous_low,week_high_so_far,week_low_so_far,previous_week_high,previous_week_low,range_ytd_rank,abs_close_move_ytd_rank,ytd_observation_count,is_event_date,is_prior_20_window,prior_20_observation_count,prior_20_avg_range_pips,prior_20_median_range_pips,prior_20_max_range_pips,range_vs_prior_20_avg,range_vs_prior_20_median,range_vs_prior_20_max
2026-03-11,FXCM,USDJPY,158.036,158.976,157.861,158.94299999999998,111.50000000000091,90.69999999999823,90.69999999999823,90.69999999999823,0.8134529147981837,UP,True,False,158.976,157.272,158.089,155.944,43,23,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-03-12,FXCM,USDJPY,158.94299999999998,159.43099999999998,158.569,159.32399999999998,86.19999999999948,38.10000000000002,38.10000000000002,38.10000000000002,0.44199535962877323,UP,True,False,159.43099999999998,157.272,158.089,155.944,64,65,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-03-13,FXCM,USDJPY,159.32399999999998,159.74599999999998,159.007,159.7,73.89999999999759,37.60000000000048,37.60000000000048,37.60000000000048,0.5087956698241096,UP,True,False,159.74599999999998,157.272,158.089,155.944,84,66,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-03-16,FXCM,USDJPY,159.524,159.743,158.849,159.05599999999998,89.40000000000055,-64.40000000000055,64.40000000000055,46.80000000000177,0.5234899328859227,DOWN,False,True,159.743,158.849,159.74599999999998,157.272,60,40,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-03-17,FXCM,USDJPY,159.05599999999998,159.497,158.721,158.983,77.60000000000105,-7.299999999997908,7.299999999997908,7.299999999997908,0.09407216494842538,DOWN,False,True,159.743,158.721,159.74599999999998,157.272,79,132,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-03-18,FXCM,USDJPY,158.983,159.90099999999998,158.569,159.807,133.19999999999936,82.39999999999839,82.39999999999839,82.39999999999839,0.6186186186186095,UP,True,True,159.90099999999998,158.569,159.74599999999998,157.272,29,27,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-03-19,FXCM,USDJPY,159.807,159.852,157.506,157.688,234.60000000000036,-211.89999999999998,211.89999999999998,211.89999999999998,0.9032395566922407,DOWN,False,True,159.90099999999998,157.506,159.74599999999998,157.272,6,4,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-03-20,FXCM,USDJPY,157.688,159.386,157.583,159.2,180.29999999999973,151.20000000000005,151.20000000000005,151.20000000000005,0.8386023294509166,UP,False,False,159.90099999999998,157.506,159.74599999999998,157.272,18,9,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-03-23,FXCM,USDJPY,159.307,159.65699999999998,158.017,158.41,163.99999999999864,-78.9999999999992,78.9999999999992,89.69999999999914,0.5469512195121944,DOWN,True,False,159.65699999999998,158.017,159.90099999999998,157.506,21,29,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-03-24,FXCM,USDJPY,158.41,159.191,158.257,158.678,93.39999999999975,26.800000000000068,26.800000000000068,26.800000000000068,0.28693790149893084,UP,False,False,159.65699999999998,158.017,159.90099999999998,157.506,56,77,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-03-25,FXCM,USDJPY,158.678,159.5,158.564,159.462,93.6000000000007,78.39999999999918,78.39999999999918,78.39999999999918,0.8376068376068225,UP,True,False,159.65699999999998,158.017,159.90099999999998,157.506,55,30,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-03-26,FXCM,USDJPY,159.462,159.849,159.285,159.785,56.399999999999295,32.30000000000075,32.30000000000075,32.30000000000075,0.5726950354610134,UP,True,False,159.849,158.017,159.90099999999998,157.506,106,71,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-03-27,FXCM,USDJPY,159.785,160.41299999999998,159.456,160.247,95.69999999999936,46.20000000000175,46.20000000000175,46.20000000000175,0.4827586206896767,UP,True,False,160.41299999999998,158.017,159.90099999999998,157.506,54,57,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-03-30,FXCM,USDJPY,160.14499999999998,160.46099999999998,159.325,159.66899999999998,113.59999999999957,-57.80000000000314,57.80000000000314,47.59999999999991,0.419014084507043,DOWN,True,True,160.46099999999998,159.325,160.41299999999998,158.017,41,44,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-03-31,FXCM,USDJPY,159.66899999999998,159.974,158.655,158.71099999999998,131.89999999999884,-95.79999999999984,95.79999999999984,95.79999999999984,0.7263078089461765,DOWN,False,True,160.46099999999998,158.655,160.41299999999998,158.017,30,21,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-01,FXCM,USDJPY,158.71099999999998,159.01399999999998,158.271,158.77499999999998,74.2999999999995,6.399999999999295,6.399999999999295,6.399999999999295,0.08613728129205031,UP,False,True,160.46099999999998,158.271,160.41299999999998,158.017,82,136,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-02,FXCM,USDJPY,158.77499999999998,159.74599999999998,158.54299999999998,159.589,120.3000000000003,81.40000000000214,81.40000000000214,81.40000000000214,0.6766417290108224,UP,True,False,160.46099999999998,158.271,160.41299999999998,158.017,36,28,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-03,FXCM,USDJPY,159.589,159.816,159.429,159.505,38.700000000000045,-8.400000000000318,8.400000000000318,8.400000000000318,0.21705426356589944,DOWN,True,False,160.46099999999998,158.271,160.41299999999998,158.017,140,129,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-06,FXCM,USDJPY,159.68699999999998,159.832,159.304,159.676,52.79999999999916,17.099999999999227,17.099999999999227,1.099999999999568,0.020833333333325484,DOWN,True,True,159.832,159.304,160.46099999999998,158.271,118,109,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-07,FXCM,USDJPY,159.676,160.03,159.468,159.59199999999998,56.20000000000118,-8.400000000000318,8.400000000000318,8.400000000000318,0.14946619217082102,DOWN,True,False,160.03,159.304,160.46099999999998,158.271,108,129,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-08,FXCM,USDJPY,159.59199999999998,159.745,157.884,158.535,186.10000000000184,-105.6999999999988,105.6999999999988,105.6999999999988,0.567974207415356,DOWN,False,True,160.03,157.884,160.46099999999998,158.271,15,20,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-09,FXCM,USDJPY,158.535,159.298,158.445,158.926,85.30000000000086,39.09999999999911,39.09999999999911,39.09999999999911,0.4583821805392581,UP,False,False,160.03,157.884,160.46099999999998,158.271,68,63,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-10,FXCM,USDJPY,158.926,159.378,158.85399999999998,159.243,52.40000000000009,31.700000000000728,31.700000000000728,31.700000000000728,0.6049618320610816,UP,True,False,160.03,157.884,160.46099999999998,158.271,119,73,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-13,FXCM,USDJPY,159.61,159.863,159.28799999999998,159.422,57.500000000001705,17.900000000000205,17.900000000000205,18.80000000000166,0.32695652173914963,DOWN,True,False,159.863,159.28799999999998,160.03,157.884,103,106,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
